NEch;NZon;NCha;NObj;XChE;YChE;ZChE;XObC;YObC;XObE;YObE;IPos;Cor_Bord;Taille_Pixel;Unite;Phase;Sens;Longueur;G;Diamètre;P6;P7;P8;P9;P10;Nom image
1;1;167;1;7860.6;-3415.6;-13535.256;14.5;497;-1;-1;0.5;non;0.345;µm;1;H;10.70;7.760;23.61;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_289071_2022-06-07_10-33-10\Images_289071\289071_Champ_1_1_167.tif
1;1;167;2;7860.6;-3415.6;-13535.256;112;497;-1;-1;1;non;0.345;µm;1;H;56.58;4.954;62.46;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_289071_2022-06-07_10-33-10\Images_289071\289071_Champ_1_1_167.tif
1;1;167;3;7860.6;-3415.6;-13535.256;214;497;-1;-1;1;non;0.345;µm;1;H;13.80;9.025;15.24;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_289071_2022-06-07_10-33-10\Images_289071\289071_Champ_1_1_167.tif
1;1;167;4;7860.6;-3415.6;-13535.256;269;497;-1;-1;1;non;0.345;µm;1;H;24.15;7.410;26.66;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_289071_2022-06-07_10-33-10\Images_289071\289071_Champ_1_1_167.tif
1;1;167;5;7860.6;-3415.6;-13535.256;354;497;-1;-1;1;non;0.345;µm;1;H;34.50;6.381;38.09;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_289071_2022-06-07_10-33-10\Images_289071\289071_Champ_1_1_167.tif
1;1;167;6;7860.6;-3415.6;-13535.256;413;497;-1;-1;1;non;0.345;µm;1;H;6.21;11.329;6.86;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_289071_2022-06-07_10-33-10\Images_289071\289071_Champ_1_1_167.tif
1;1;167;7;7860.6;-3415.6;-13535.256;477;497;-1;-1;1;non;0.345;µm;1;H;37.95;6.106;41.90;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_289071_2022-06-07_10-33-10\Images_289071\289071_Champ_1_1_167.tif
1;1;167;8;7860.6;-3415.6;-13535.256;554.5;497;-1;-1;1;non;0.345;µm;1;H;15.53;8.685;17.14;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_289071_2022-06-07_10-33-10\Images_289071\289071_Champ_1_1_167.tif
1;1;167;9;7860.6;-3415.6;-13535.256;649.5;497;-1;-1;1;non;0.345;µm;1;H;50.03;5.309;55.23;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_289071_2022-06-07_10-33-10\Images_289071\289071_Champ_1_1_167.tif
1;1;167;10;7860.6;-3415.6;-13535.256;778.5;497;-1;-1;1;non;0.345;µm;1;H;38.99;6.028;43.04;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_289071_2022-06-07_10-33-10\Images_289071\289071_Champ_1_1_167.tif
