Ech;Zone;Champ;X;Y;Z;OrdreChamp
1;1;1275;-2974;-10272.6;-10253.757;1
1;1;3165;-11806;-21224.6;-10289.667;2
1;1;106;2678.6;-3560.6;-10234.88;3
1;1;2916;-12159;-19811.4;-10265.491;4
1;1;2497;3385.2;-17338.4;-10434.763;5
1;1;2950;-147.8;-19811;-10422.731;6
1;1;1283;-5800.6;-10272.8;-10216.759;7
1;1;1979;7271.6;-14159.2;-10441.643;8
1;1;1712;558.6;-12745.6;-10334.221;9
1;1;189;-11806.2;-4267;-10055.042;10
1;1;2313;-6153.2;-16278.2;-10295.231;11
1;1;1391;-147.6;-10979.2;-10300.531;12
1;1;157;-2267.6;-3913.8;-10175.022;13
1;1;2263;-1560.2;-15925.4;-10350.464;14
1;1;1356;6211.6;-10626.2;-10378.888;15
