Ech;Zone;Champ;X;Y;Z;OrdreChamp
1;1;2032;-7566.8;-14512;-10252.078;1
1;1;2360;7978.2;-16631.8;-10485.559;2
1;1;1476;4798.2;-11332.6;-10372.184;3
1;1;1946;-4387.2;-14159;-10289.214;4
1;1;2688;-5093.6;-18398.2;-10337.083;5
1;1;493;7977.8;-5680;-10337.865;6
1;1;910;-5447;-8153.2;-10194.261;7
1;1;2889;-3680.2;-19458;-10370.003;8
1;1;2959;3032;-19811.2;-10463.244;9
1;1;1261;1971.8;-10272.8;-10320.637;10
1;1;1401;-3680.8;-10979;-10255.659;11
1;1;571;-8273.4;-6386.4;-10133.186;12
1;1;3245;1972.4;-21577.8;-10473.096;13
1;1;1161;-6506.8;-9566.2;-10199.348;14
1;1;270;1618.4;-4620.2;-10239.752;15
1;1;2398;-5447;-16632;-10308.605;16
1;1;3294;-10039.8;-21931.4;-10319.532;17
1;1;1992;6565;-14512;-10438.346;18
1;1;2375;2678.2;-16631.8;-10415.709;19
1;1;3215;5858.4;-21224.4;-10519.555;20
1;1;374;8684;-5326.8;-10342.414;21
1;1;2953;911.8;-19811.4;-10435.304;22
1;1;284;-3327.2;-4620.4;-10174.558;23
1;1;1253;4798.6;-10272.4;-10357.891;24
1;1;1671;-11452.6;-12392.4;-10172.269;25
1;1;277;-854;-4620.2;-10207.155;26
1;1;2157;-7919.8;-15218.8;-10256.95;27
1;1;1536;-7566.6;-11685.6;-10213.964;28
1;1;690;-10039.8;-7093.6;-10119.431;29
1;1;1097;2325.6;-9212.8;-10311.001;30
