Echantillon;Zone;Image;XIma;YIma;Indice;IndiceV;IndiceH;NbInterceptsV;NbInterceptsH;NbIntercepts;P7;P8;P9;Taille_Pixel;Surface_Image;Taille_Image;Grossissement;Date;Nom image;Session
1;1;42;7778;-10864.4;5.64607117058075;5.28349870037415;6.00864364078736;7;9;16;-1;-1;-1;0.345;0.12;1024;100;2022-06-07_10-47-28;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_42.tif;ISO 643_INT_277172_2022-06-07_10-47-02
1;1;267;15550.6;-13337.6;5.99072161461131;6.31265183232343;5.6687913968992;10;8;18;-1;-1;-1;0.345;0.12;1024;100;2022-06-07_10-47-54;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_267.tif;ISO 643_INT_277172_2022-06-07_10-47-02
1;1;72;14490.4;-11217.4;6.83872411293924;6.83872411293924;6.83872411293924;12;12;24;-1;-1;-1;0.345;0.12;1024;100;2022-06-07_10-48-30;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_72.tif;ISO 643_INT_277172_2022-06-07_10-47-02
1;1;426;6011.8;-14750.4;6.64607776467672;7.28351188856607;6.00864364078736;14;9;23;-1;-1;-1;0.345;0.12;1024;100;2022-06-07_10-49-03;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_426.tif;ISO 643_INT_277172_2022-06-07_10-47-02
1;1;395;15904.2;-14397.6;5.57568137853537;4.83871092474732;6.31265183232343;6;10;16;-1;-1;-1;0.345;0.12;1024;100;2022-06-07_10-49-32;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_395.tif;ISO 643_INT_277172_2022-06-07_10-47-02
1;1;337;14137.4;-14044.6;4.66878480280324;3.66877820870728;5.6687913968992;4;8;12;-1;-1;-1;0.345;0.12;1024;100;2022-06-07_10-50-01;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_337.tif;ISO 643_INT_277172_2022-06-07_10-47-02
1;1;64;15551;-10864.4;5.83871751884328;5.6687913968992;6.00864364078736;8;9;17;-1;-1;-1;0.345;0.12;1024;100;2022-06-07_10-50-27;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_64.tif;ISO 643_INT_277172_2022-06-07_10-47-02
1;1;464;15904;-15457.2;6.29815216701676;6.00864364078736;6.58766069324616;9;11;20;-1;-1;-1;0.345;0.12;1024;100;2022-06-07_10-50-59;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_464.tif;ISO 643_INT_277172_2022-06-07_10-47-02
1;1;368;6364.8;-14397.2;6.82867038198049;7.06968007071482;6.58766069324616;13;11;24;-1;-1;-1;0.345;0.12;1024;100;2022-06-07_10-51-27;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_368.tif;ISO 643_INT_277172_2022-06-07_10-47-02
1;1;280;10957.8;-13337;5.83871751884328;6.83872411293924;4.83871092474732;12;6;18;-1;-1;-1;0.345;0.12;1024;100;2022-06-07_10-51-59;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_280.tif;ISO 643_INT_277172_2022-06-07_10-47-02
