NEch;NZon;NCha;NObj;XChE;YChE;ZChE;XObC;YObC;XObE;YObE;IPos;Cor_Bord;Taille_Pixel;Unite;Phase;Sens;Longueur;G;Diamètre;P6;P7;P8;P9;P10;Nom image
1;1;42;1;7778;-10864.4;-12372.054;16;497;-1;-1;0.5;non;0.345;µm;1;H;11.73;7.494;25.90;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_42.tif
1;1;42;2;7778;-10864.4;-12372.054;88.5;497;-1;-1;1;non;0.345;µm;1;H;38.30;6.080;42.28;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_42.tif
1;1;42;3;7778;-10864.4;-12372.054;225.5;497;-1;-1;1;non;0.345;µm;1;H;56.24;4.971;62.08;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_42.tif
1;1;42;4;7778;-10864.4;-12372.054;419.5;497;-1;-1;1;non;0.345;µm;1;H;77.63;4.041;85.70;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_42.tif
1;1;42;5;7778;-10864.4;-12372.054;546;497;-1;-1;1;non;0.345;µm;1;H;9.66;10.054;10.66;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_42.tif
1;1;42;6;7778;-10864.4;-12372.054;602.5;497;-1;-1;1;non;0.345;µm;1;H;29.33;6.850;32.37;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_42.tif
1;1;42;7;7778;-10864.4;-12372.054;686;497;-1;-1;1;non;0.345;µm;1;H;28.29;6.954;31.23;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_42.tif
1;1;42;8;7778;-10864.4;-12372.054;751;497;-1;-1;1;non;0.345;µm;1;H;16.56;8.499;18.28;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_42.tif
1;1;42;9;7778;-10864.4;-12372.054;852;497;-1;-1;1;non;0.345;µm;1;H;53.13;5.135;58.66;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_42.tif
1;1;42;10;7778;-10864.4;-12372.054;976.5;497;-1;-1;0.5;non;0.345;µm;1;H;32.78;4.529;72.37;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_42.tif
1;1;42;11;7778;-10864.4;-12372.054;497;88.5;-1;-1;0.5;non;0.345;µm;1;V;61.76;2.701;136.36;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_42.tif
1;1;42;12;7778;-10864.4;-12372.054;497;190.5;-1;-1;1;non;0.345;µm;1;V;8.63;10.381;9.52;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_42.tif
1;1;42;13;7778;-10864.4;-12372.054;497;226;-1;-1;1;non;0.345;µm;1;V;15.87;8.622;17.52;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_42.tif
1;1;42;14;7778;-10864.4;-12372.054;497;343;-1;-1;1;non;0.345;µm;1;V;64.86;4.560;71.61;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_42.tif
1;1;42;15;7778;-10864.4;-12372.054;497;505;-1;-1;1;non;0.345;µm;1;V;46.92;5.494;51.80;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_42.tif
1;1;42;16;7778;-10864.4;-12372.054;497;582;-1;-1;1;non;0.345;µm;1;V;6.21;11.329;6.86;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_42.tif
1;1;42;17;7778;-10864.4;-12372.054;497;736;-1;-1;1;non;0.345;µm;1;V;100.05;3.309;110.46;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_42.tif
1;1;42;18;7778;-10864.4;-12372.054;497;952.5;-1;-1;0.5;non;0.345;µm;1;V;49.34;3.349;108.93;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_42.tif
1;1;267;1;15550.6;-13337.6;-12348.456;22;497;-1;-1;0.5;non;0.345;µm;1;H;15.87;6.622;35.04;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_267.tif
1;1;267;2;15550.6;-13337.6;-12348.456;78.5;497;-1;-1;1;non;0.345;µm;1;H;23.12;7.537;25.52;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_267.tif
1;1;267;3;15550.6;-13337.6;-12348.456;202.5;497;-1;-1;1;non;0.345;µm;1;H;62.45;4.669;68.94;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_267.tif
1;1;267;4;15550.6;-13337.6;-12348.456;344.5;497;-1;-1;1;non;0.345;µm;1;H;35.54;6.296;39.23;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_267.tif
1;1;267;5;15550.6;-13337.6;-12348.456;400.5;497;-1;-1;1;non;0.345;µm;1;H;3.11;13.329;3.43;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_267.tif
1;1;267;6;15550.6;-13337.6;-12348.456;550;497;-1;-1;1;non;0.345;µm;1;H;100.05;3.309;110.46;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_267.tif
1;1;267;7;15550.6;-13337.6;-12348.456;728;497;-1;-1;1;non;0.345;µm;1;H;22.77;7.580;25.14;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_267.tif
1;1;267;8;15550.6;-13337.6;-12348.456;779.5;497;-1;-1;1;non;0.345;µm;1;H;12.77;9.250;14.09;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_267.tif
1;1;267;9;15550.6;-13337.6;-12348.456;911;497;-1;-1;0.5;non;0.345;µm;1;H;77.97;2.028;172.16;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_267.tif
1;1;267;10;15550.6;-13337.6;-12348.456;497;46;-1;-1;0.5;non;0.345;µm;1;V;32.43;4.560;71.61;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_267.tif
1;1;267;11;15550.6;-13337.6;-12348.456;497;232;-1;-1;1;non;0.345;µm;1;V;95.91;3.431;105.88;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_267.tif
1;1;267;12;15550.6;-13337.6;-12348.456;497;385;-1;-1;1;non;0.345;µm;1;V;9.66;10.054;10.66;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_267.tif
1;1;267;13;15550.6;-13337.6;-12348.456;497;415;-1;-1;1;non;0.345;µm;1;V;11.04;9.669;12.19;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_267.tif
1;1;267;14;15550.6;-13337.6;-12348.456;497;479;-1;-1;1;non;0.345;µm;1;V;33.12;6.499;36.56;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_267.tif
1;1;267;15;15550.6;-13337.6;-12348.456;497;549.5;-1;-1;1;non;0.345;µm;1;V;15.53;8.685;17.14;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_267.tif
1;1;267;16;15550.6;-13337.6;-12348.456;497;631.5;-1;-1;1;non;0.345;µm;1;V;41.06;5.879;45.32;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_267.tif
1;1;267;17;15550.6;-13337.6;-12348.456;497;720;-1;-1;1;non;0.345;µm;1;V;20.01;7.953;22.09;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_267.tif
1;1;267;18;15550.6;-13337.6;-12348.456;497;782.5;-1;-1;1;non;0.345;µm;1;V;23.12;7.537;25.52;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_267.tif
1;1;267;19;15550.6;-13337.6;-12348.456;497;918.5;-1;-1;1;non;0.345;µm;1;V;70.73;4.310;78.08;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_267.tif
1;1;267;20;15550.6;-13337.6;-12348.456;497;1022.5;-1;-1;0.5;non;0.345;µm;1;V;1.04;14.499;2.29;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_267.tif
1;1;72;1;14490.4;-11217.4;-12375.122;17.5;497;-1;-1;0.5;non;0.345;µm;1;H;12.77;7.250;28.19;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_72.tif
1;1;72;2;14490.4;-11217.4;-12375.122;48.5;497;-1;-1;1;non;0.345;µm;1;H;8.63;10.381;9.52;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_72.tif
1;1;72;3;14490.4;-11217.4;-12375.122;109;497;-1;-1;1;non;0.345;µm;1;H;33.12;6.499;36.56;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_72.tif
1;1;72;4;14490.4;-11217.4;-12375.122;203.5;497;-1;-1;1;non;0.345;µm;1;H;32.09;6.590;35.42;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_72.tif
1;1;72;5;14490.4;-11217.4;-12375.122;343;497;-1;-1;1;non;0.345;µm;1;H;64.17;4.590;70.84;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_72.tif
1;1;72;6;14490.4;-11217.4;-12375.122;492.5;497;-1;-1;1;non;0.345;µm;1;H;38.99;6.028;43.04;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_72.tif
1;1;72;7;14490.4;-11217.4;-12375.122;590.5;497;-1;-1;1;non;0.345;µm;1;H;28.64;6.919;31.61;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_72.tif
1;1;72;8;14490.4;-11217.4;-12375.122;652;497;-1;-1;1;non;0.345;µm;1;H;13.80;9.025;15.24;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_72.tif
1;1;72;9;14490.4;-11217.4;-12375.122;764;497;-1;-1;1;non;0.345;µm;1;H;63.48;4.622;70.08;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_72.tif
1;1;72;10;14490.4;-11217.4;-12375.122;887.5;497;-1;-1;1;non;0.345;µm;1;H;21.74;7.714;24.00;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_72.tif
1;1;72;11;14490.4;-11217.4;-12375.122;957;497;-1;-1;1;non;0.345;µm;1;H;26.22;7.173;28.95;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_72.tif
1;1;72;12;14490.4;-11217.4;-12375.122;1001.5;497;-1;-1;1;non;0.345;µm;1;H;4.49;12.268;4.95;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_72.tif
1;1;72;13;14490.4;-11217.4;-12375.122;1016;497;-1;-1;0.5;non;0.345;µm;1;H;5.52;9.669;12.19;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_72.tif
1;1;72;14;14490.4;-11217.4;-12375.122;497;65.5;-1;-1;0.5;non;0.345;µm;1;V;45.89;3.558;101.31;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_72.tif
1;1;72;15;14490.4;-11217.4;-12375.122;497;173.5;-1;-1;1;non;0.345;µm;1;V;28.64;6.919;31.61;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_72.tif
1;1;72;16;14490.4;-11217.4;-12375.122;497;228.5;-1;-1;1;non;0.345;µm;1;V;9.32;10.159;10.28;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_72.tif
1;1;72;17;14490.4;-11217.4;-12375.122;497;265;-1;-1;1;non;0.345;µm;1;V;15.87;8.622;17.52;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277172_2022-06-07_10-47-02\Images_277172\277172_Champ_1_1_72.tif
